symbol,Alb-Ar-KO,Sox2-Ar-KO,Sex
Adgrf1,0.0887053297320717,0.371669483197617,F
Adgrg3,-0.0870675902332134,0.395650285580361,F
Adgrl1,0.286018144810388,0.368762602525169,F
Adgrv1,-0.313635645006659,-1.45013980567171,M
Adh4,0.230137516604509,-0.359480087738364,M
Adh6-ps1,-0.138619798222689,-1.18031940263576,M
Adh7,-0.236019444013744,-0.212240788806339,M
Adrb3,-0.074499145971133,-1.6033410677791,M
Afm,0.277505188701603,0.616144237556074,F
Agap2,-0.392423074956513,-0.498030001653328,M
Agk,0.256109808235759,0.281279476717563,F
Ago2,-0.468541328928106,0.491813248335728,F
Agt,0.0946955166236101,0.496903529801106,F
Agtr1a,0.32581052102346,0.325441703697727,F
Agtrap,0.174351820876594,0.420581598324312,F
Agxt,0.0316746518882776,0.66684250533246,F
AI463229,0.178229948627057,-0.976423585868287,M
AI480526,-0.0824634391434802,-1.16323080432612,M
AI661453,0.259838424399188,-0.426439311108809,M
Aif1,0.38944470387715,0.544027440683583,F
Aifm3,0.190835972510978,-0.258968622317085,M
Aig1,0.337519517291968,0.429383225100955,F
Ak2,-0.241140841501225,-0.0257435734308999,M
Ak4,-0.608090429626828,-0.172945925747134,M
Akap12,-0.0381828267900971,0.686438856808826,F
Akap8l,0.188023239083372,-0.574007155945575,M
Akna,0.123359821832236,0.551665386482066,F
Akr1c19,-0.340244968651488,-0.117983894071322,M
Akr1d1,0.0524241071898579,0.697230330003328,F
Alas2,-0.123456336576753,-0.934192499480988,M
Alb,0.154265347203235,0.592257578573488,F
Aldh1a7,-0.0329003558765171,-0.127247146414917,M
Aldh1b1,0.158665839515711,1.07346594863919,F
Aldoa,-0.164267662028065,-0.208839458510606,M
Aldoc,0.0240619304803377,-0.621192489715177,M
Alpl,-0.362869914150438,-0.363319938012783,M
Als2cl,0.349512584625051,-0.494280064846664,M
Amd1,-0.533503276349635,0.0948643912772316,M
Amdhd1,0.36927326811984,0.417194786780742,F
Amotl1,-0.33435867328718,0.471214582734803,F
Angel1,0.513558448857486,0.580054580664076,F
Ankrd12,-0.807631093397885,0.168950272834321,M
Ankrd9,-0.26556319709745,0.0505182042616046,M
Ano6,0.0345048537164151,0.042338243951654,F
Anxa7,-0.0772210741609447,-0.19017108854914,M
Aox1,0.178359634593923,-1.04186735742156,M
Aox3,0.165654693074102,-1.33366801344803,M
Ap3s1,-0.0998441367065614,-0.297435128812191,M
Ap5z1,-0.0781759683214615,-0.339188502420572,M
Apcs,-0.0664342611051089,1.04370602848085,F
Apex1,0.299766202666915,-0.275018533418121,M
Apom,0.0402136693258816,0.147023717906721,F
Aqp4,-0.148318051372905,-0.255824672610663,M
Aqp8,1.00784448212728,1.21777371615998,F
Arap2,0.103117884578503,0.221566199244952,F
