symbol,WK0,WK2,WK4,WK8,WK79,Sex
Cd28,14.22,12.2,10.1,16.66,61.49,F
Pard3b,348.77,341.55,285.55,249.43,249.25,F
Nrp2,316.62,280.49,241.69,229.83,338.56,F
Gm4208,1.2,2.84,32.08,43.12,24.13,F
Ino80d,437.62,419.44,409.53,344.22,390.55,F
Ino80dos,252.25,210.34,135.52,99.98,111.04,F
Gm20342,314.96,253.18,219.78,116.19,188.8,F
Ndufs1,4689.34,6816.27,9411.12,9878.18,8423.94,F
Eef1b2,8403.28,4634.73,4374.48,4650.73,3964.07,F
Fastkd2,820.63,1015.83,1287.23,1328.51,1026.29,F
Klf7,1144.35,1034.65,679.05,622.39,689.06,F
Creb1,674.59,881,771.29,720.37,674.8,F
Mettl21a,319.85,377.73,331.57,337.58,321.12,F
Fzd5,188.71,130.34,156.26,150.63,159.38,F
Plekhm3,183.6,143.73,109.75,113.13,192.49,F
Rpl10a-ps1,121.1,73.77,68.73,65.71,56.63,F
D630023F18Rik,44.28,258.26,2166.79,1601.32,2103.24,F
Idh1,14161.34,14627.17,32967.78,36753.39,29857.78,F
Pikfyve,456.52,361.87,438.48,372.55,382.32,F
Map2,217.97,267.02,198.99,207.37,169.8,F
Rpe,782.82,1027.19,1255.5,1303.53,1014.27,F
Kansl1l,174.13,336.09,428.2,390.95,305.96,F
Acadl,4122.33,5425.64,5421.92,6480.64,6042.27,F
Lancl1,1145.04,882.38,742.27,844.36,956.55,F
Cps1,34.19,2.1,0.59,0.79,0.33,F
Erbb4,237.8,326.72,307.6,223.37,166.8,F
Ikzf2,147.16,212.54,215.06,222.57,225.83,F
Atic,1198.81,847.79,659.54,845.85,781.54,F
Fn1,6822.12,4216.64,979.14,534.67,637.84,F
Mreg,36.22,68.33,102.45,81.97,37.2,F
Pecr,1137.37,2999.67,8663.97,9465.2,5778.41,F
Tmem169,111.57,98.26,178.87,122.29,130.11,F
Xrcc5,1342.29,1418.5,1352.49,1473.29,1420.01,F
Smarcal1,444.72,473.3,445.22,471.41,494.72,F
Rpl37a,2748.73,1863.42,1748.7,1934.54,1698.22,F
Igfbp2,159.39,262.49,41.22,59.6,27.02,F
Igfbp5,4563.27,4520.83,5470.89,4757.9,6472.95,F
Tns1,3178.6,6019.14,11654.12,14241.53,15541.76,F
Arpc2,4273.33,3725.76,4019.48,3905.71,4037.5,F
Aamp,6347.96,7068.82,7214.42,9066.21,7625.5,F
Pnkd,1263.63,1898.71,2482.8,2423.15,2556.55,F
Tmbim1,1245.17,1625.16,1349.74,1929.45,1924.38,F
Slc11a1,106.7,86.61,90.89,102.36,224.28,F
Ctdsp1,516.67,839.09,971.7,987.5,961.5,F
Vil1,1501.61,1591.47,3018.68,2742.47,3557.61,F
Usp37,2732.99,1962.66,1473.29,1266.26,1125.16,F
