symbol,SexDiff_log2FC,ArKObulk_log2FC,ArKOsn_log2FC,Sex
Cpox,-1.62050495313671,-0.968254923516208,-2.55824707768485,M
Crot,-1.57614089751669,-1.4585200716691,-1.17425252131047,M
Csad,-0.866483553380761,-1.02594694387989,-1.27504671678107,M
Csgalnact1,-1.66315391598555,-1.18785597586771,-5.05580991826676,M
Ctbs,-0.835665059270186,-0.994910007451581,-1.50915725759881,M
Cyb5a,-1.11002053961579,-1.00022833934005,-0.952212973592446,M
Cyp2a4,-1.18203441692138,-1.18918278853651,-3.19085512094579,M
Cyp2c23,1.23538641980077,1.48313396335849,1.7495252197426,F
Cyp2d26,1.08314589264584,0.90022105465345,3.2526166301499,F
Cyp2d9,-2.34392761214177,-0.953181130054614,-3.14600088516153,M
Cyp2e1,-3.40316461443932,-3.40714903713467,-2.79723191930067,M
Cyp2j13,-8.69520980282594,-3.68716161456894,-4.27007387010237,M
Cyp4a12a,-5.81102366978433,-2.25677694301916,-1.57112720206395,M
Cyp4a14,1.66948213865891,3.78621486445297,3.47373364691745,F
Cyp4b1,-4.3836385003127,-3.0235203282524,-2.59846310249012,M
Cyp7b1,-6.25712169925967,-4.50950743153049,-7.02458966121995,M
D630029K05Rik,-0.749018680622856,-1.23343881833449,-1.59287342079448,M
Dcst1,-1.72317166589314,-1.8117235422271,-1.54179923620021,M
Degs2,-2.23953828466437,-1.88663613165078,-2.56340928890312,M
Depdc1b,-0.724934634478002,-0.931736777552,-2.25860179104671,M
Elovl2,1.42751364170797,0.501506557019334,2.59948262678716,F
Elovl6,1.98495221137062,0.95914920470934,4.53335303771715,F
Epb41l4a,0.801067600251148,0.605970273263118,2.28487831002061,F
Ephx2,-1.41622196270342,-0.984413424345054,-1.12097358455996,M
Erc2,-2.54088281638276,-1.54018358578875,-0.845446700604975,M
Eri2,-1.07517996047692,-0.718241325208804,-1.79645397641803,M
Etv1,-1.10676903781925,-0.938928794503974,-2.36286043282915,M
Fam25c,1.6554314271484,0.733178232939501,1.7048071278462,F
Fbxo40,-1.11043032164565,-1.27328758558069,-1.29581999454615,M
Fhl1,-0.91262992328093,-0.854254126737461,-0.912246690042791,M
Fmo5,-2.86821861964585,-2.32871097435064,-4.02815413998071,M
Foxq1,1.97844033092664,1.07434037682615,5.01815137651287,F
Frzb,-1.3057588829434,-1.07305282261131,-3.34357312599451,M
Ftcd,-1.90438027471705,-0.880712825317018,-1.57512027142982,M
Galns,-1.7857760634569,-1.50033399450811,-1.30008419070055,M
Galnt1,-0.852373172917066,-1.02395167266674,-1.56788415887351,M
Galnt14,-0.802311554102899,-0.654153877326561,-0.881614507623655,M
Gbp3,2.55581849860793,1.52168616557732,5.59365354798496,F
Gc,2.21278626061282,2.67023924659843,-1.49630080136431,F
Gimap8,2.11157856774756,1.18239606443338,3.16334929205281,F
Gm10845,-1.90388247589301,-0.897783551592437,-1.67473149655263,M
Gm11992,-0.772990718529792,-0.940261870552354,-1.55043815447408,M
Gm15348,-4.42921617454113,-2.78280072540419,-3.50727155307194,M
Gm16010,1.9531306109929,2.24566945079256,2.48150281357184,F
Gm27216,-2.18692077757419,-1.50991143838891,-1.1114027982265,M
Gm29012,-2.48664811682949,-2.45744316953442,-2.19085512094579,M
Gm31369,3.49298531055636,2.00273022428159,5.55517940017033,F
Gm45645,-4.37024966781393,-2.57028632265379,-2.37309221291457,M
Gm53,0.733163964531599,0.72846774756962,1.72905467409288,F
Gpt,-0.502475966918516,-0.539209136270014,1.2570218092699,M
Gsap,-1.65965133477627,-1.30820656535195,-1.62852619626097,M
Gsta2,1.99444974035181,1.3376625612218,3.04616575268247,F
Gsta4,2.53983555552108,1.46316552537734,4.45780205509276,F
Gusb,-0.877882348067894,-0.600064416527336,-2.46162888751623,M
Hacl1,1.70308828121885,1.28107690279613,1.7057612762428,F
Hao2,1.70214130059904,1.66646025262551,2.93795653572657,F
Hoxb9,0.665872039892706,0.746374056548447,1.71603547466273,F
Hpd,2.19665399844751,1.28246332794871,1.64034654306618,F
Hsd11b1,-1.21409865824532,-1.15484118657413,-2.53835467815906,M
Hsd17b11,-1.40387255194045,-2.08289507373126,-3.43563367898328,M
Hsd17b14,2.35474434347857,1.59999387976523,3.42101416184561,F
Hsd17b2,-2.17206126996236,-2.53960931488614,-2.42073085633423,M
Hsd3b3,-0.727098025501426,-0.516422938614662,1.05308516662226,M
Hunk,-0.995818420654772,-0.673299113098101,-1.47687771458518,M
Hykk,-1.04921895134393,-1.11361144665016,-0.8215126105683,M
Id4,1.21659563140887,0.721824963181502,3.00881722389058,F
Idi1,-1.7272270676476,-1.66386897213688,-4.06026632513446,M
Igf2bp1,-1.82263562009689,-1.3203877559605,-5.17783592151564,M
Il34,-1.84981456039019,-0.761962304169119,-2.8040210849633,M
