symbol	Six2-Ar-KO	Sox2-Ar-KO	Sex	FvsM
Cadm1	-0.652427487842229	-0.965556701142395	M	-0.791259236100755
Cadps2	0.452319783429007	0.861653676628905	F	0.617264767711404
Camk1g	0.721551732275542	0.763612078875854	F	1.84529806164127
Cand2	0.602350017474237	0.380144701942462	F	1.20348321464038
Capg	1.52354859551086	0.789131227293898	F	2.09818871353207
Capn6	-0.093319295865999	0.647298942724143	F	0.67022972815442
Car4	-0.792355821321571	-1.29557736236529	M	-1.41702300650064
Car5a	0.645906467080239	0.887933310584638	F	1.22292419202863
Car9	-1.17486730385219	-0.363531700358073	M	-1.11270214569316
Castor1	-0.605244377925877	-0.702034223722573	M	-0.778103010509264
Castor2	-0.617561029528899	-0.283444435316405	M	-0.552319486842232
Cblc	-0.387126328158813	-0.876735824345535	M	-0.604804532018943
Cbr1	1.49581669200155	1.74497559012653	F	2.72644516965364
Cbs	-1.04210859054166	-1.22294317120298	M	-1.28805163174082
Ccdc6	-0.937949823589403	-0.753433533904904	M	-0.862156689527149
Cckar	-1.31532855779686	-1.55555020159349	M	-1.33842012989179
Ccng1	-0.18794284851807	-0.373177883566481	M	-0.823559911410704
Cd36	-2.12292742273492	-2.26752556676742	M	-1.69127631497069
Cdh6	1.38385784047391	1.7591551793024	F	2.08516906359087
Ceacam1	0.436826928215407	0.261499662302473	F	0.605602848104034
Ceacam2	3.06411421074549	2.27155382977521	F	2.30285307966523
Ces1f	-2.34898351874332	-3.27321443912533	M	-2.8988059164752
Ces1g	-1.05507246437797	-5.32792724472241	M	-2.88446278143194
Ces2c	-1.49018677463374	-1.85226542347831	M	-2.43356252044222
Ces2g	0.183666808329394	0.493084594281881	F	0.673551473920501
Chd3	-0.550636337214316	-0.655682301578795	M	-0.808255157421125
Chdh	-0.618442820010347	-0.352503633746986	M	-0.892163473875689
Chpt1	-0.730042431691152	-0.785015124503837	M	-0.700645279647667
Chst11	-2.30996591558833	-2.47586891583347	M	-2.57596753004213
Chst7	-2.51532927492299	-3.27189404068869	M	-3.5364874155977
Clip4	-1.08670950988382	-1.29484033426282	M	-1.6114426465748
Cmtm6	-1.29766451198071	-1.23671213494026	M	-1.48682543090567
Cndp1	-0.959576083069438	-0.858907097555558	M	-0.994865874717645
Cndp2	-2.4424290784915	-2.71416612378729	M	-2.84720750315818
Coasy	-0.936511439350294	-0.969178081293075	M	-0.738341253136723
Coro1c	-0.307540212304427	-0.283506656042045	M	-0.734706328042626
Cotl1	0.469109887334848	0.425100256368075	F	0.621251779264419
Cox8b	-0.625809649356986	0.413571815344805	F	3.18594701538976
Cpe	-0.506895876245417	-1.55406151673365	M	-1.19472693957739
Cpn1	1.34692194896925	0.991413355656687	F	0.944060060746664
Cpne2	1.19406184642621	-0.0290945135469679	F	1.07528911160758
Cpox	-0.964798016830125	-1.38887885196608	M	-1.62050495313671
Cpq	-0.417033894193196	-0.62758835885333	M	-0.530972839521418
Crot	-1.4563438098159	-1.73185159147971	M	-1.57614089751669
Csad	-1.02132508043115	-0.87374292190784	M	-0.866483553380761
Csgalnact1	-1.1723436172231	-1.74176642888524	M	-1.66315391598555
Ctbs	-0.990157418885717	-0.993750017825748	M	-0.835665059270186
Cttnbp2	0.388189595049754	0.960195186672442	F	0.5705148428843
Cyb5a	-0.996646349507598	-1.34910306320429	M	-1.11002053961579
Cyb5r3	-0.469871581798594	-0.654027045425937	M	-0.835764504134428
Cycs	-0.714457849464692	-0.836622699078286	M	-0.569598237984843
Cyp2a4	-1.18809227982598	-1.8883809538387	M	-1.18203441692138
Cyp2c23	1.48574757163605	1.49884075403274	F	1.23538641980077
Cyp2d26	0.903713208340144	1.08303052910843	F	1.08314589264584
Cyp2d9	-0.951652191723735	-1.65799106766624	M	-2.34392761214177
Cyp2e1	-3.40143213254974	-3.59000294073329	M	-3.40316461443932
Cyp2j13	-3.68258071178833	-8.94897070174155	M	-8.69520980282594
Cyp2j5	-0.647037880050294	-0.848436607175227	M	-0.768825820952875
Cyp4a12a	-2.24112710365721	-3.98307180457735	M	-5.81102366978433
Cyp4a12b	0.338709282717005	-2.23650435121362	M	-3.64195616171286
Cyp4a14	3.79155292034107	2.97767666683368	F	1.66948213865891
Cyp4b1	-3.019601536243	-4.79914316381897	M	-4.3836385003127
Cyp7b1	-4.50353170698471	-5.88694849575726	M	-6.25712169925967
D630029K05Rik	-1.22953482855963	-1.16603650201231	M	-0.749018680622856
Dcst1	-1.79749966753031	-1.9962462524479	M	-1.72317166589314
Dcun1d3	-0.0985130118844695	0.180863056054608	M	-0.85531581092071
Ddx3y	-0.0631196531558195	-0.151273159702216	M	-7.91916320586027
Defb29	-0.555382171936918	-0.642509840612217	M	-0.530176495266408
Degs2	-1.88428404795601	-2.31782708933038	M	-2.23953828466437
Depdc1b	-0.928065471439064	-1.21923273310129	M	-0.724934634478002
Dgkg	-0.587910552386806	-0.930541137662174	M	-0.744370998972228
Dglucy	-0.517305246789228	-0.408651324324253	M	-0.802331383826012
Dhdds	-0.424601096951592	-0.319086144570127	M	-0.640300721618563
Dio1	0.941725873622699	0.565631991286067	F	1.24957162318605
Dleu7	-0.579923131840675	-1.17015520161065	M	-1.24140795526171
Dnajc12	-0.913486839486646	-0.753551767281892	M	-0.607591461089402
Dnajc22	-0.782941586450301	-1.04821261662687	M	-1.1058596979529
Dnph1	-0.817806691127318	-0.886469522700805	M	-1.07602591136003
Eif2s3y	-0.223678713382578	-0.438095223950559	M	-8.77494648610999
Elovl2	0.503558193538445	0.995050178219195	F	1.42751364170797
Elovl6	0.962479911561869	0.929600870851243	F	1.98495221137062
Enpp6	-0.61331492457021	-0.518334102604921	M	-0.657707949618421
Epb41l4a	0.611478507862247	0.413111398014094	F	0.801067600251148
Epb41l4b	0.29548722545634	0.323993887961002	F	0.850165921135624
Ephx2	-0.980654475814363	-1.10180039808256	M	-1.41622196270342
Erc2	-1.53356597959888	-1.2302925724407	M	-2.54088281638276
Ergic1	-0.255954265735236	-0.265685247711956	M	-0.556293712281108
Eri2	-0.724898589139284	-1.0409756114876	M	-1.07517996047692
Ethe1	-0.468805214944724	-0.870505745448574	M	-1.08695811557057
Etnk1	0.492615821083146	0.848588193013803	F	0.953544624249917
Etnppl	-0.774082746774726	-0.0719126987953117	M	-0.692492996127355
Etv1	-0.931614505724393	-0.963737535865342	M	-1.10676903781925
Fam107a	0.446035687429052	0.00110711914173838	F	0.806674526363257
Fancd2os	-0.661247123816072	-1.58390397879004	M	-0.961350564005144
Fbp2	0.800712518572819	0.506054759743071	F	1.14668291644282
Fbxl2	-2.16066618052115	-2.29905151761016	M	-2.27258555669085
