symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
4930503B20Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Samd13,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm36831,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm37041,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm36888,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43574,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43573,TRUE,12,12,0.009553702,54.88476979,0.008284836,0.006420295,0.367609495,0.605936879,1,FALSE,UP
Gm10287,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm30382,TRUE,1,1,0.000697079,96.90657167,0.000690403,0.000535025,0.367609495,1,1,FALSE,UP
Gm5149,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43468,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4930555A03Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm42949,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ifi44l,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43617,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43619,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm31881,TRUE,2,1,0.00191297,619.971268,0.001380806,0.000535025,0.952571996,0.660431708,1,FALSE,UP
Fubp1,TRUE,1341,1648,0.925093473,27.48714836,0.925830414,0.881720523,0.070402768,0.777268118,1,FALSE,UP
Miga1,TRUE,84,95,0.051117887,27.23712483,0.057993851,0.050827336,0.192037931,0.565842592,1,FALSE,UP
Ak5,TRUE,7,6,0.003725548,27.23712483,0.004832821,0.003210148,0.560254573,0.597661188,1,FALSE,UP
AI115009,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm16213,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm16231,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1700094M23Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1700012D16Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1700015C17Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
5730460C07Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Asb17os,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Asb17,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Slc44a5,TRUE,1,1,0.001522031,912.6688086,0.000690403,0.000535025,0.367609495,1,1,FALSE,UP
AI606473,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Erich3,TRUE,5,6,0.003477389,34.46168932,0.003452015,0.003210148,0.145217074,1,1,FALSE,UP
Gm20389,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Lrriq3,TRUE,112,139,0.070320622,27.23712483,0.077325135,0.074368418,0.058505441,0.855982085,1,FALSE,UP
9330178D15Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4930570G19Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm15577,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm33466,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Srsf11,TRUE,1669,2113,1.166453111,27.41665309,1.152282596,1.130506957,0.027482221,0.901401109,1,FALSE,UP
Lrrc7,TRUE,2,2,0.001865008,432.4939977,0.001380806,0.001070049,0.367609495,1,1,FALSE,UP
Rpe65,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Vmn1r2,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Vmn1r3,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Mos,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11808,TRUE,56,68,0.044741834,30.19113402,0.038662568,0.036381672,0.091975053,0.804651921,1,FALSE,UP
Sdr16c5,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Sdr16c6,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Penk,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11782,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ubxn2b,TRUE,136,169,0.090586593,29.39859842,0.093894807,0.090419156,0.056250642,0.857452,1,FALSE,UP
Cyp7a1,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4930430E12Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Sdcbp,TRUE,105,121,0.063471244,27.23712483,0.072492314,0.064737975,0.164792612,0.606590539,1,FALSE,UP
Nsmaf,TRUE,265,298,0.171662994,28.59285376,0.182956793,0.159437328,0.198890257,0.493782089,1,FALSE,UP
Gm11802,TRUE,1,1,0.000487092,27.23712483,0.000690403,0.000535025,0.367609495,1,1,FALSE,UP
8430436N08Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11795,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Car8,TRUE,3,4,0.001669939,27.23712483,0.002071209,0.002140098,0.0456814,1,1,FALSE,UP
Rab2a,TRUE,247,318,0.159724186,27.23712483,0.170529539,0.170137819,0.004393192,0.985776097,1,FALSE,UP
Clvs1,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11816,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11817,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gdf6,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11815,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Dpy19l4,TRUE,174,199,0.109978921,29.48735672,0.120130121,0.106469893,0.174964417,0.563882714,1,FALSE,UP
Virma,TRUE,379,431,0.227113766,28.34908231,0.261662734,0.230595598,0.182577602,0.513260598,1,FALSE,UP
Gm11831,TRUE,5,6,0.003772251,219.5780574,0.003452015,0.003210148,0.145217074,1,1,FALSE,UP
Gm11832,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
